ID,Region,VesselType,OverlapMean,OverlapMedian,OverlapSD,OverlapSE,ColRiskMean,ColRiskMedian,ColRiskSD,ColRiskSE
ID319,ATL_N,Total,97.98185941,100,3.554887368,1.343621131,0.002604951,0.001922265,0.00220166,0.000357156
ID320,ATL_N,Total,98.08441558,100,3.831168831,1.915584416,0.002380159,0.001624982,0.002657217,0.000462562
ID321,ATL_N,Total,93.66233766,92.98701299,6.028436577,3.480519481,0.002469705,0.001939824,0.002010594,0.000438748
ID322,ATL_N,Total,91.66666667,95,10.42193744,5.210968721,0.000975,0.000874282,0.000609708,0.000133049
ID323,ATL_N,Total,99.77777778,100,0.496903995,0.222222222,0.000839382,0.000616302,0.000772275,0.000116425
ID324,ATL_N,Total,98.57429335,98.7394958,1.668221862,0.834110931,0.001699018,0.000889287,0.00225261,0.000312381
ID325,ATL_N,Total,96.61375661,100,5.865145592,3.386243386,0.003020456,0.002518543,0.002905295,0.000619411
ID326,ATL_N,Total,99.80392157,100,0.438444701,0.196078431,0.001722726,0.001241421,0.001760811,0.000216741
ID327,ATL_N,Total,97.2985348,100,5.402930403,2.701465201,0.000943758,0.000707911,0.000847825,0.000145401
ID328,ATL_N,Total,98.19047619,100,2.688684612,1.016227262,0.002399513,0.001404895,0.003257875,0.000314951
ID329,ATL_N,Total,92.43386243,93.33333333,8.053633101,4.649767239,0.000864881,0.000678931,0.000488219,0.000135408
ID330,ATL_N,Total,100,100,0,0,0.000959818,0.000634619,0.001244923,0.000248985
ID331,PAC_E,Total,100,100,0,0,0.001020596,0.001185282,0.000603657,0.000269964
ID332,PAC_E,Total,100,100,0,0,0.000218304,0.000210029,0.000178029,3.56E-05
ID333,PAC_E,Total,99.0625,100,2.296396634,0.9375,0.000158276,9.98E-05,0.000169646,1.91E-05
ID334,PAC_E,Total,100,100,NA,NA,0.000326512,0.00031856,0.000105369,4.71E-05
ID335,PAC_E,Total,100,100,0,0,0.000657951,0.000278533,0.000737053,0.000260588
